year,age,school,group,topic,count
2018,010,77,2,136900,9
2018,010,77,9,136900,24
2018,010,9999,1,136900,15
2018,010,9999,2,136900,9
2018,010,9999,9,136900,24
2018,010,1,1,137000,..C
2018,010,1,2,137000,..C
2018,010,1,9,137000,9
2018,010,2,1,137000,..C
2018,010,2,2,137000,..C
2018,010,2,9,137000,0
2018,010,3,1,137000,..C
2018,010,3,2,137000,..C
2018,010,3,9,137000,3
2018,010,4,1,137000,..C
2018,010,4,2,137000,9
2018,010,4,9,137000,12
2018,010,5,1,137000,..C
2018,010,5,2,137000,..C
2018,010,5,9,137000,3
2018,010,6,1,137000,..C
2018,010,6,2,137000,..C
2018,010,6,9,137000,0
2018,010,9,1,137000,..C
